,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SEG - REPORTE GENERAL DE SOLICITUDES - GENERADO EN:20/02/2020 - 12:09:43,,,,,,,,,,,,,,,
SOLICITUD,SOLICITUD SC,NIS,TIPO DE SERVICIO,MOVIMIENTO,PRON‡STICO,ETAPA,FECHA DE SOLICITUD,FECHA CONVENIDA,FECHA DE ENTREGA,PROBLEMA PARA SU ATENCION,COMENTARIOS,PARO DE RELOJ,MOTIVO PARO DE RELOJ,INICIO PARO DE RELOJ FECHA/HORA,FIN PARO DE RELOJ FECHA/HORA
12516094,,1910200239284,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:50,,19/02/2020 16:55,,Victor - 2020-02-19 16:53:00 - SUSPENSION ,,,,
12516046,,1910200239273,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:48,,19/02/2020 16:55,,Victor - 2020-02-19 16:49:07 - SUSPENSION ,,,,
12516023,,1910200239257,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:42,,19/02/2020 16:46,,Victor - 2020-02-19 16:45:17 - SUSPENSION ,,,,
12516015,,1910200239247,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:40,,19/02/2020 16:43,,Victor - 2020-02-19 16:41:15 - SUSPENSION ,,,,
12515975,,1910200239229,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:33,,19/02/2020 16:38,,Victor - 2020-02-19 16:36:59 - SUSPENSION ,,,,
12515963,,1910200239217,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:30,,19/02/2020 16:34,,Victor - 2020-02-19 16:32:43 - SUSPENSION ,,,,
12515954,,1910200239212,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 16:28,,,,,,,,
12515947,,1910200239205,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:26,,19/02/2020 16:32,,Victor - 2020-02-19 16:29:25 - SUSPENSION ,,,,
12515931,,1910200239190,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:20,,19/02/2020 16:26,,Victor - 2020-02-19 16:23:55 - SUSPENSION ,,,,
12515923,,1910200239182,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 16:17,,19/02/2020 16:22,,,,,,
12515920,,1910200239177,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:15,,19/02/2020 16:21,,Victor - 2020-02-19 16:18:44 - SUSPENSION ,,,,
12515909,,1910200239165,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 16:11,,,,"Elizabeth - 2020-02-19 16:29:39 - CERCA DE LA IGLESIA DE SAN MIGUEL, A UNA CUADRA DE LA UNIDAD DEPORTIVA RAFAEL GALINDO, CERCA DEL LLANO Y DEL RASTRO DE MASCOTA. OK XD ",,,,
12515902,,1910200239161,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:09,,19/02/2020 16:15,,Victor - 2020-02-19 16:14:48 - SUSPENSION ,,,,
12515899,,1910200239158,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 16:07,,,,Elizabeth - 2020-02-19 16:08:30 - 0 ,,,,
12515891,,1910200239145,Reventa Datos,Suspension,,LIQUIDADA,19/02/2020 16:02,,19/02/2020 16:10,,Victor - 2020-02-19 16:07:50 - SUSPENSION ,,,,
12515855,,1910200239094,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 15:39,,,,,,,,
12515843,,1910200239073,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 15:33,,19/02/2020 15:37,,,,,,
12515832,,1910200239064,Reventa Datos,Lineas Nuevas,,EN PROCESO DE ALTA,19/02/2020 15:28,,,,,,,,
12515824,,1910200239053,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 15:19,,,,,,,,
12515803,,1910200239030,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 15:08,,,,,,,,
12515796,,1910200239026,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 15:04,,,,,,,,
12515754,,1910200238996,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 14:44,,,,,,,,
12515742,,1910200238985,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 14:36,,,,,,,,
12515675,,1910200238964,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 14:23,,,,"Elizabeth - 2020-02-19 14:25:23 - CASA COLOR ROJO QUEMADO, REJA AZUL CON GRISA L APRIVADA SE ENCUENTRA ATRAS DEL ""KINDER DE LA POPOCATEPETL"" ",,,,
12515587,,1910200238898,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:58,,,,,,,,
12515561,,1910200238876,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:52,,,,Juan - 2020-02-19 13:53:22 - A DOS CUADRAS DE LA GLORIETA ,,,,
12515558,,1910200238873,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:51,,,,,,,,
12515491,,1910200238826,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:34,,,,"Erick - 2020-02-19 13:48:18 - EN UNA EZQUINA ESTA UN ANA AURRERA , UN SUPER K, ENFRETE ESTA UN PARQUE Y UN ABOMBA DE AGUA, CASA COLOR AMARILLO CO FACHALETA CAFE. ",,,,
12515478,,1910200238805,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:27,,,,"Brayan - 2020-02-19 13:28:17 - EN LA BAJADA QUE ESTA A UN COSTADO DE LE ESCUELA PRIMARIA MIGUEL HIDALGO PREGUNTAR POR LA CASA DEL ENANO HEVERT, CASA DEL CLIENTE ESTA EN ESQUINA PASANDO EL IMSS Y LA PRIMARIA ",,,,
12515472,,1910200238800,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 13:26,28/02/2020,19/02/2020 13:32,,Marian - 2020-02-19 15:34:20 - Se objeta solicitud cliente no desea el servicio a peticion de CS Erick Arellano. ,,,,
12515462,,1910200238792,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:23,,,,,,,,
12515457,,1910200238790,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:22,,,,,,,,
12515455,,1910200238785,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:21,,,,Erick - 2020-02-19 13:34:38 - ESTAN UNAS CANCHAS DE BASQUET Y ES EN UN PORTO DE PRIVADA COLOR NEGRO. ,,,,
12515357,,1910200238720,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 13:03,,,,,,,,
12515290,,1910200238688,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 12:54,,,,Elizabeth - 2020-02-19 12:55:36 - NA ,,,,
12515039,,1910200238579,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 12:21,,,,Elizabeth - 2020-02-19 12:26:17 - A TRES CUADRAS DE LA PRIMARIA 3 DE MAYO ,,,,
12515019,,1910200238552,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 12:14,,,,Elizabeth - 2020-02-19 12:35:25 - NA ,,,,
12514991,,1910200238528,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 12:05,,,,"Erick - 2020-02-19 12:16:56 - CASA COLOR VERDE AMARILLO Erick - 2020-02-19 12:13:22 - CALLE DE TERRACERIA, CASA DE UN SOLO PISO AMARILLA CON PORTON DE COLOR CAFE, ",,,,
12514971,,1910200238509,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:58,,,,Elizabeth - 2020-02-19 11:59:20 - NA ,,,,
12514967,,1910200238507,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:58,,,,Brayan - 2020-02-19 11:58:57 - FRENTE A DEPOSITO EL LUCAS ,,,,
12514944,,1910200238497,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:53,,,,"Erick - 2020-02-19 12:01:33 - SOBRE LA PRINCIPAL ENTRA DA A LA COLONIA, CENTRO CULTURA MEXIQUENCE DE HAI ENTRAR A LA COL Y A 300 MT ENTRE LAS ESCUELAS Y EL PANTEON A 250 MTS A UN LADO DE UN EDIFIDCIO ZAUL, ES EN SAHUAN CAFFE. ",,,,
12514939,,1910200238491,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:52,,,,,,,,
12514893,,1910200238448,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:41,,,,,,,,
12514879,,1910200238439,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:37,,,,Brayan - 2020-02-19 11:38:31 - CASA NEGRA CON ROJO ,,,,
12514799,,1910200238344,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:12,,,,Elizabeth - 2020-02-19 11:13:14 - NA ,,,,
12514786,,1910200238333,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:09,,,,,,,,
12514756,,1910200238300,Reventa Datos,Lineas Nuevas,,DOMICILIO SIN FACILIDADES,19/02/2020 11:04,,,,,,,,
12514752,,1910200238291,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 11:02,,,,,,,,
12514720,,1910200238256,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:54,,,,,,,,
12514704,,1910200238237,Reventa Datos,Lineas Nuevas,,OBJETADA,19/02/2020 10:50,,19/02/2020 10:59,,,,,,
12514699,,1910200238227,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:48,,,,"Erick - 2020-02-19 10:57:13 - ES POR LA CALLE PRICIPAL YEGANDO AL CENTRO ES LA UNICA CALLE PADIMENTADA, POR AHI ESTA UN ACANCHA DE FUTBOOL, CASA BEIHS CON BARABDALES BLANCO Y PORTON BLANCO. ",,,,
12514689,,1910200238205,Reventa Datos,Bajas,,LIQUIDADA,19/02/2020 10:44,,19/02/2020 20:43,,,,,,
12514666,,1910200238174,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:38,,,,,,,,
12514597,,1910200238132,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:26,,,,,,,,
12514558,,1910200238085,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:15,,,,,,,,
12514549,,1910200238083,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:14,26/02/2020,,,"Erick - 2020-02-19 10:22:28 - PRIMERO UBICAR PORTALES 1, ESTRAR POR A LA GASOLINERA 3 CUADRAS A MANO IZQUIERDA A L A 4 CASA COLOR BEIS CON FIGUARA EN LA PARTE DE ABAJO Y CUENTA CON UN TEJABAN BLANCO. ",,,,
12514539,,1910200238073,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 10:10,25/02/2020,,,,,,,
12514496,,1910200238024,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 09:56,,,,Elizabeth - 2020-02-19 09:56:58 - NA ,,,,
12514471,,1910200237987,Reventa Datos,Lineas Nuevas,,ALTA DE DOMICILIO,19/02/2020 09:48,01/03/2020,,,,,,,
12514464,,1910200237979,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 09:47,,,,Elizabeth - 2020-02-19 09:47:52 - REF. ESTA ENTRE FRENTE AL PARQUE DE SAN PREDRO COLOR LADRILLO ,,,,
12514463,,1910200237977,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 09:46,,,,,,,,
12514427,,1910200237926,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 09:33,,,,,,,,
12514419,,1910200237910,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 09:26,,,,,,,,
12514407,,1910200237890,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,19/02/2020 09:18,,19/02/2020 09:24,,,,,,
12514386,,1910200237868,Reventa Datos,Lineas Nuevas,,EN PROCESO,19/02/2020 09:09,,,,,,,,
12514374,,1910200237856,Reventa Datos,Lineas Nuevas,,DOMICILIO SIN FACILIDADES,19/02/2020 09:01,,,,,,,,
12514350,,1910200237819,Reventa Datos,Lineas Nuevas,,DOMICILIO SIN FACILIDADES,19/02/2020 08:39,,,,,,,,
12514336,,1910200237794,Reventa Datos,Lineas Nuevas,,DOMICILIO SIN FACILIDADES,19/02/2020 07:59,,,,,,,,
12514263,,1910200237770,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 20:49,,,,Elizabeth - 2020-02-18 20:51:13 - SIN COMENTARIOS ,,,,
12514251,,1910200237760,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 20:39,,,,"Elizabeth - 2020-02-18 20:49:58 - TIENE BARDA DE COLOR DE ROSA, DOS CASAS ESTA UNA ESCALERA A LOMO LINDA HACIA ABAGO. ",,,,
12514229,,1910200237731,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 20:24,,,,Juan - 2020-02-18 20:41:03 - SIN ,,,,
12514198,,1910200237689,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 20:05,,,,Elizabeth - 2020-02-18 20:18:00 - POR EL BULEBAR POR LA TIENDA EL KIESCO COMO A 5 MINUTOS ESTA LA CALLE CASA DE COLOR MOSTZA DE UN NIVEL ,,,,
12514191,,1910200237676,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 20:00,,,,"Elizabeth - 2020-02-18 20:10:11 - ESTA UNA TIENDA ESTER, AFUERA DE DOMICILIO ESTA UN BOCHOTO COLOR ROJO, CASA DE BLANCO CON AZUL DE DOS PISOS CON PUERTAS COLOR VERDES. ",,,,
12514160,,1910200237653,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 19:51,,,,Elizabeth - 2020-02-18 19:51:43 - DICC840606000 ,,,,
12514151,,1910200237645,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 19:50,,,,"Marian - 2020-02-18 20:24:36 - Se objeta solicitud con motivo domicilio no corresponde, valida CS Marili Martinez. ",,,,
12514130,,1910200237614,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 19:38,,,,,,,,
12514094,,1910200237603,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 19:34,25/02/2020,,,,,,,
12514069,,1910200237582,Reventa Datos,Lineas Nuevas,,EN PROCESO DE ALTA,18/02/2020 19:25,,,,"Elizabeth - 2020-02-18 19:29:06 - ES UN FRACIONAMINETO ESTA CASI EN FRENTE UNA PRIMARIA , A 2 CUADRAS ESTA UNA SECUNDARIA Y SERCA UN OXO ",,,,
12513984,,1910200237559,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 19:08,,,,,,,,
12513979,,1910200237557,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 19:08,,,,,,,,
12513899,,1910200237518,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:52,24/02/2020,,,,,,,
12513897,,1910200237516,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:52,,,,,,,,
12513885,,1910200237507,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:49,,,,"Elizabeth - 2020-02-18 18:50:26 - TODA LA CASAS ESTAN ENURADA NO HAY PIERDE, CASA BLANCOA CON CONEGRE DE DOS PISOS. ",,,,
12513873,,1910200237499,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:45,,,,,,,,
12513833,,1910200237470,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:33,,,,Marian - 2020-02-18 19:09:28 - Se objeta solicitud cliente no desea el servicio a peticion de CS Marili Martinez. ,,,,
12513799,,1910200237449,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:25,,,,Marian - 2020-02-18 18:59:11 - Se objeta solicitud cliente no desea el servicio a peticion de CS Marili Martinez. ,,,,
12513785,,1910200237442,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:19,,,,Elizabeth - 2020-02-18 18:22:11 - OK XD ,,,,
12513745,,1910200237403,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 18:07,,,,"Elizabeth - 2020-02-18 18:13:24 - CASA ATRAS DE CARRETERA 26, EN LA EZQUINA ESTA UN OXXO A MEDIO CUADRA ES UN SALON DE BELLESA CON PUERTA DE CRISTAL. ",,,,
12513718,,1910200237391,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 17:55,,,,Elizabeth - 2020-02-18 18:08:38 - ENFRENTE DE LA TAPICERIA ARERI CASA CON BARDA DE COLOR AMARILLO CON ROJO EN LA ESQUINA ,,,,
12513652,,1910200237365,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 17:38,,,,Elizabeth - 2020-02-18 17:39:30 - CERCA DE UNA FERRETERIA M Y L ,,,,
12513608,,1910200237317,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 17:21,,,,"Elizabeth - 2020-02-18 17:26:59 - A LADO DE UNA TIENDA DE ABBARROTE UNICA TIENDA, CASA CON UN SAHUAN NEGRO DE DOS PISOS LA PARTE DE ABAJO ES DE PIERDRA Y LA DE ARRIBA ESTA PIMNTAD DE COLOR NARANJA. ",,,,
12513584,,1910200237301,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 17:13,,,,Elizabeth - 2020-02-18 17:13:41 - CASA COLOR AZUL CERCA DE TIENDA A BARROTES REF 4443137514 FERNANDO DOMINGUEZ ,,,,
12513576,,1910200237293,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 17:10,,,,"Elizabeth - 2020-02-18 17:11:57 - loma verde, alado de una tele secundaria OK XD ",,,,
12513551,,1910200237280,Reventa Datos,Lineas Nuevas,,,18/02/2020 17:04,,18/02/2020 17:08,,Elizabeth - 2020-02-18 17:05:05 - CERCA DE LA SECUNDARIA EL DOM SE UBICA A 1 CUADRA ,,,,
12513528,,1910200237268,Reventa Datos,Lineas Nuevas,,EN PROCESO DE ALTA,18/02/2020 16:56,,,,"Elizabeth - 2020-02-18 16:56:30 - CASA DE UN PISO COLOR CREMA, CERCA HAY UNA TIENDA QUE SE LLAMA YULI CERCA HAY UNA IGLESIA QUE SE LLAMA IGLESIA ADVENTISTA REAL UNIDAD 22.925263, -109.922855 ",,,,
12513520,,1910200237258,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 16:52,,,,Marian - 2020-02-18 18:50:02 - Se objeta solicitud cliente no desea el servicio a peticion de CS Marilyn Martinez. ,,,,
12513499,,1910200237238,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 16:46,,,,Elizabeth - 2020-02-18 16:47:14 - CASA BLANCA AUN COSTADO DE LA FABRICA DE VELAS OK XD ,,,,
12513494,,1910200237232,Reventa Datos,Suspension,,LIQUIDADA,18/02/2020 16:44,,18/02/2020 16:50,,Victor - 2020-02-18 16:47:19 - SUSPENSION ,,,,
12513486,,1910200237222,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 16:41,,,,"Elizabeth - 2020-02-18 16:42:51 - DE LA SEC PARA ARRIBA, CERCA DEL PARQUE AL LA LADO DEL DEPOSITO CASA DE 2 PISOS COLOR GRIS , POR LA CARNICER÷A Y ABARROTES ",,,,
12513481,,1910200237219,Reventa Datos,Suspension,,LIQUIDADA,18/02/2020 16:41,,18/02/2020 16:43,,Victor - 2020-02-18 16:43:17 - SUSPENSION ,,,,
12513464,,1910200237212,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 16:39,,,,"Elizabeth - 2020-02-18 16:39:44 - Cancel Negro, calle empedrada, casa al fondo OK XD ",,,,
12513463,,1910200237210,Reventa Datos,Suspension,,LIQUIDADA,18/02/2020 16:38,,18/02/2020 16:40,,Victor - 2020-02-18 16:39:54 - SUSPENSION ,,,,
12513409,,1910200237157,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 16:17,,,,,,,,
12513380,,1910200237129,Reventa Datos,Lineas Nuevas,,CREADA/EN PROCESO,18/02/2020 16:08,,18/02/2020 16:19,,"Elizabeth - 2020-02-18 16:23:38 - ESTA UN CAMPO, EZQUINA ESTA UNA TIENDA DE ABARROTES LLAMADO SUPR BANDERAS Y DA LA BUELTA A 4 CASA COLOR ZAUL DE UN PISO CON PUERTAS BLANCAS. ",,,,
12513374,,1910200237126,Reventa Datos,Suspension,,LIQUIDADA,18/02/2020 16:05,,18/02/2020 16:10,,Victor - 2020-02-18 16:07:52 - SUSPENSION ,,,,
12513367,,1910200237123,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 16:03,,,,Elizabeth - 2020-02-18 16:04:30 - OK XD ,,,,
12513359,,1910200237115,Reventa Datos,Reanudacion,,LIQUIDADA,18/02/2020 16:01,,19/02/2020 07:48,,Victor - 2020-02-18 16:01:57 - REANUDACION ,,,,
12513333,,1910200237098,Reventa Datos,Reanudacion,,LIQUIDADA,18/02/2020 15:54,,18/02/2020 16:09,,Victor - 2020-02-18 15:55:13 - REANUDACION ,,,,
12513186,,1910200237047,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 15:17,,,,Elizabeth - 2020-02-18 16:11:16 - Elizabeth - 2020-02-18 16:11:11 - PASANDO LAS ANTENAS DE TELMEX EN LA SEGUNDA PRIVADA ESTA ALADO DE UNA TIENDA ,,,,
12513175,,1910200237039,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 15:10,,,,"Elizabeth - 2020-02-18 16:09:32 - ATRAS DEL UDITORIO, ESTA UNA TIENDA DEPOSITO DE CERVESA ES UN CALLEJON SIN SALIDA. CASA COLOR GRIS DE UN SOLO PISO. ",,,,
12513123,,1910200236978,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 14:34,,,,,,,,
12513118,,1910200236972,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 14:33,,,,"Elizabeth - 2020-02-18 14:34:06 - 28.698740, -100.516774 ",,,,
12513114,,1910200236963,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 14:31,,,,,,,,
12513068,,1910200236900,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 14:09,,,,,,,,
12513066,,1910200236892,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 14:06,,,,"Elizabeth - 2020-02-18 14:07:07 - CASA BLANCA DE 2 PISOS A UN LADO DE UN BAR CON UN LETRERO DED NO ESTACIONARSE EN EL PORTON (14.9071978,-92.2567871) ",,,,
12513063,,1910200236889,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 14:05,,,,Cecilia - 2020-02-18 14:07:46 - casa de un piso sin pintar ,,,,
12513008,,1910200236860,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 13:55,,,,Brayan - 2020-02-18 13:57:43 - CASA RUSTICA CERCA DEL CAFE TATIAXCA ,,,,
12513006,,1910200236857,Reventa Datos,Lineas Nuevas,,EN PROCESO,18/02/2020 13:54,,,,,,,,
